,File,Delta x,Delta y,dy/dx
0,21_1_2_20170104020235605.csv.chip.csv,161,137,0.8509316770186336
1,21_1_2_20170104021056028.csv.chip.csv,164,127,0.774390243902439
2,21_1_2_20170104021952837.csv.chip.csv,178,145,0.8146067415730337
3,21_1_2_20170105000725292.csv.chip.csv,165,137,0.8303030303030303
4,21_1_2_20170105002530429.csv.chip.csv,155,131,0.8451612903225807
5,21_1_2_20170105183505385.csv.chip.csv,172,141,0.8197674418604651
6,21_1_2_20170109132112364.csv.chip.csv,169,131,0.7751479289940828
7,21_1_2_20170109213056053.csv.chip.csv,156,123,0.7884615384615384
8,21_1_3_20170104221836903.csv.chip.csv,179,141,0.7877094972067039
9,21_1_3_20170104222046054.csv.chip.csv,181,141,0.7790055248618785
10,21_1_3_20170104222056815.csv.chip.csv,176,141,0.8011363636363636
11,21_1_3_20170104222105039.csv.chip.csv,155,139,0.896774193548387
12,21_1_3_20170104222105822.csv.chip.csv,170,128,0.7529411764705882
13,21_1_3_20170104222108390.csv.chip.csv,167,135,0.8083832335329342
14,21_1_3_20170104222111271.csv.chip.csv,169,144,0.8520710059171598
15,21_1_3_20170104222114302.csv.chip.csv,161,125,0.7763975155279503
16,21_1_3_20170104222116782.csv.chip.csv,162,132,0.8148148148148148
17,21_1_3_20170104222118687.csv.chip.csv,156,129,0.8269230769230769
18,21_1_3_20170104222120446.csv.chip.csv,170,144,0.8470588235294118
19,21_1_3_20170104222121713.csv.chip.csv,172,129,0.75
20,21_1_3_20170104222522503.csv.chip.csv,168,138,0.8214285714285714
21,21_1_3_20170104222653479.csv.chip.csv,169,140,0.8284023668639053
22,21_1_3_20170104222758121.csv.chip.csv,157,133,0.8471337579617835
23,21_1_3_20170104223626119.csv.chip.csv,182,139,0.7637362637362637
24,21_1_3_20170104231324474.csv.chip.csv,185,138,0.745945945945946
25,21_1_3_20170104231602346.csv.chip.csv,184,139,0.7554347826086957
26,21_1_3_20170104231611130.csv.chip.csv,177,136,0.768361581920904
27,21_1_3_20170104231613281.csv.chip.csv,170,110,0.6470588235294118
28,21_1_3_20170104231627770.csv.chip.csv,167,139,0.8323353293413174
29,21_1_3_20170104231630017.csv.chip.csv,173,143,0.8265895953757225
30,21_1_3_20170104231631625.csv.chip.csv,166,136,0.8192771084337349
31,21_1_3_20170104231633619.csv.chip.csv,173,139,0.8034682080924855
32,21_1_3_20170104232011770.csv.chip.csv,168,142,0.8452380952380952
33,21_1_3_20170104233909843.csv.chip.csv,169,126,0.7455621301775148
34,21_1_3_20170105000657779.csv.chip.csv,166,135,0.8132530120481928
35,21_1_3_20170105003215901.csv.chip.csv,184,139,0.7554347826086957
36,21_1_3_20170109132139583.csv.chip.csv,168,130,0.7738095238095238
37,21_1_4_20161221193302541.csv.chip.csv,170,138,0.8117647058823529
38,21_1_4_20161221193306453.csv.chip.csv,163,136,0.8343558282208589
39,21_1_4_20161221195948192.csv.chip.csv,172,142,0.8255813953488372
40,21_1_4_20161223225837372.csv.chip.csv,176,122,0.6931818181818182
41,21_1_4_20170103180619480.csv.chip.csv,161,123,0.7639751552795031
42,21_1_4_20170103201905647.csv.chip.csv,181,142,0.7845303867403315
43,21_1_4_20170103223150726.csv.chip.csv,153,122,0.7973856209150327
44,21_1_4_20170103223204087.csv.chip.csv,172,133,0.7732558139534884
45,21_1_4_20170103223208902.csv.chip.csv,181,132,0.7292817679558011
46,21_1_4_20170103223234959.csv.chip.csv,165,140,0.8484848484848485
47,21_1_4_20170103223237335.csv.chip.csv,170,139,0.8176470588235294
48,21_1_4_20170103223240255.csv.chip.csv,165,135,0.8181818181818182
49,21_1_4_20170103223244111.csv.chip.csv,167,126,0.7544910179640718
50,21_1_4_20170103223249191.csv.chip.csv,160,143,0.89375
51,21_1_4_20170103223253239.csv.chip.csv,182,125,0.6868131868131868
52,21_1_4_20170103223636607.csv.chip.csv,158,144,0.9113924050632911
53,21_1_4_20170103224431735.csv.chip.csv,166,133,0.8012048192771084
54,21_1_4_20170103224438000.csv.chip.csv,158,136,0.8607594936708861
55,21_1_4_20170103224520560.csv.chip.csv,164,132,0.8048780487804879
56,21_1_4_20170103224936983.csv.chip.csv,174,142,0.8160919540229885
57,21_1_4_20170103225014665.csv.chip.csv,165,137,0.8303030303030303
58,21_1_4_20170103225020282.csv.chip.csv,170,129,0.7588235294117647
59,21_1_4_20170103225212711.csv.chip.csv,170,140,0.8235294117647058
60,21_1_4_20170103230000841.csv.chip.csv,171,132,0.7719298245614035
61,21_1_4_20170103230521217.csv.chip.csv,157,126,0.802547770700637
62,21_1_4_20170103233532676.csv.chip.csv,159,139,0.8742138364779874
63,21_1_4_20170103233920299.csv.chip.csv,174,143,0.8218390804597702
64,21_1_4_20170103233924667.csv.chip.csv,183,143,0.7814207650273224
65,21_1_4_20170103234037067.csv.chip.csv,162,147,0.9074074074074074
66,21_1_4_20170104005731615.csv.chip.csv,175,132,0.7542857142857143
67,22_0_0_20170103180152583.csv.chip.csv,176,137,0.7784090909090909
68,22_0_0_20170103234830581.csv.chip.csv,159,136,0.8553459119496856
