X,Y,Point index
62,150,0
62,155,1
63,161,2
64,167,3
65,173,4
67,178,5
69,184,6
71,189,7
74,194,8
77,199,9
81,203,10
159,185,11
155,188,12
151,190,13
147,192,14
143,193,15
138,194,16
134,194,17
129,194,18
124,194,19
119,193,20
85,208,21
115,191,22
111,189,23
107,187,24
103,184,25
147,128,26
149,125,27
151,123,28
154,122,29
156,120,30
159,119,31
89,212,32
162,119,33
165,120,34
168,120,35
171,122,36
173,124,37
174,127,38
171,128,39
168,129,40
165,129,41
162,129,42
94,215,43
159,129,44
156,129,45
153,129,46
150,128,47
110,125,48
108,123,49
106,121,50
103,119,51
101,118,52
98,117,53
99,219,54
95,117,55
92,118,56
89,119,57
87,120,58
84,122,59
85,124,60
88,125,61
90,126,62
93,127,63
96,127,64
103,222,65
99,127,66
102,127,67
105,127,68
108,127,69
141,110,70
144,106,71
149,104,72
154,103,73
159,102,74
163,102,75
108,225,76
169,102,77
173,102,78
178,103,79
183,106,80
186,109,81
184,112,82
179,110,83
174,109,84
169,109,85
165,109,86
114,228,87
160,110,88
155,111,89
150,112,90
145,113,91
113,107,92
110,104,93
106,102,94
101,101,95
96,100,96
91,99,97
119,230,98
86,99,99
82,99,100
77,101,101
73,104,102
70,108,103
73,108,104
77,106,105
82,106,106
87,106,107
92,106,108
125,232,109
97,107,110
102,109,111
106,110,112
111,111,113
131,232,114
137,232,115
142,231,116
148,229,117
153,227,118
158,224,119
163,220,120
167,217,121
171,213,122
176,209,123
180,204,124
183,200,125
187,195,126
190,190,127
192,185,128
194,179,129
196,174,130
197,168,131
197,162,132
198,156,133
198,150,134
117,145,135
115,149,136
111,154,137
109,158,138
110,163,139
114,166,140
119,168,141
125,170,142
130,171,143
135,170,144
140,168,145
145,167,146
150,164,147
151,159,148
149,154,149
146,150,150
142,146,151
97,180,152
102,178,153
107,177,154
113,176,155
119,176,156
124,176,157
130,177,158
136,176,159
142,176,160
147,175,161
153,176,162
159,177,163
163,179,164
163,185,165
160,190,166
157,194,167
153,198,168
148,202,169
143,204,170
137,205,171
131,206,172
126,205,173
120,204,174
115,202,175
110,198,176
106,194,177
102,190,178
99,185,179
100,181,180
104,180,181
109,181,182
114,181,183
118,182,184
123,182,185
128,183,186
133,183,187
137,182,188
142,182,189
147,181,190
151,180,191
156,180,192
160,181,193
