X,Y,Point index
49,130,0
50,148,1
51,166,2
54,185,3
61,201,4
76,214,5
94,224,6
112,232,7
131,235,8
149,231,9
165,221,10
180,210,11
191,196,12
196,179,13
198,161,14
199,144,15
198,126,16
67,116,17
77,107,18
91,103,19
105,103,20
119,108,21
139,108,22
152,104,23
165,104,24
178,107,25
187,115,26
130,122,27
131,133,28
132,145,29
133,157,30
116,165,31
124,167,32
132,170,33
140,167,34
147,165,35
83,125,36
92,120,37
101,120,38
110,126,39
101,126,40
92,126,41
147,126,42
155,121,43
164,120,44
172,125,45
164,126,46
156,126,47
96,180,48
111,178,49
124,177,50
133,178,51
141,177,52
153,177,53
166,179,54
154,192,55
142,197,56
133,198,57
124,197,58
111,192,59
101,181,60
124,182,61
133,183,62
141,182,63
162,181,64
141,189,65
133,190,66
124,189,67
68,64,68
84,62,69
106,65,70
131,65,71
164,62,72
178,68,73
194,98,74
58,87,75
66,71,76
50,115,77
196,116,78
184,78,79
156,66,80
