X,Y,Point index
60,150,0
60,157,1
60,164,2
61,170,3
61,177,4
62,184,5
64,190,6
65,197,7
67,203,8
70,209,9
74,215,10
149,192,11
146,193,12
143,193,13
139,192,14
136,192,15
132,192,16
129,192,17
125,192,18
122,192,19
118,192,20
78,220,21
114,192,22
111,191,23
108,192,24
104,192,25
145,123,26
147,121,27
150,119,28
152,118,29
155,117,30
158,116,31
82,225,32
161,116,33
164,116,34
166,117,35
169,118,36
171,121,37
171,123,38
168,125,39
166,125,40
163,126,41
160,126,42
87,229,43
157,126,44
154,125,45
151,125,46
148,124,47
107,123,48
106,121,49
104,119,50
101,118,51
98,118,52
96,118,53
93,233,54
93,118,55
90,119,56
88,120,57
85,121,58
83,123,59
85,125,60
87,126,61
90,127,62
92,127,63
95,127,64
98,237,65
98,127,66
101,126,67
103,126,68
106,125,69
139,110,70
142,105,71
146,102,72
151,101,73
157,100,74
162,99,75
104,240,76
168,99,77
173,99,78
178,101,79
183,103,80
187,107,81
187,112,82
181,112,83
176,110,84
171,109,85
166,109,86
110,242,87
160,109,88
154,109,89
149,110,90
144,112,91
113,110,92
110,106,93
106,104,94
101,103,95
96,103,96
91,102,97
116,243,98
85,102,99
80,103,100
76,105,101
72,108,102
69,112,103
70,116,104
75,115,105
79,113,106
84,112,107
89,111,108
123,244,109
94,111,110
99,112,111
104,113,112
109,113,113
130,245,114
136,245,115
143,244,116
149,242,117
155,240,118
161,237,119
166,233,120
171,230,121
177,225,122
181,221,123
185,216,124
189,211,125
192,205,126
195,199,127
197,192,128
199,186,129
201,180,130
202,173,131
203,166,132
204,160,133
205,153,134
112,145,135
109,150,136
107,154,137
105,159,138
107,163,139
110,166,140
115,168,141
120,169,142
125,170,143
131,169,144
135,168,145
140,167,146
145,164,147
146,160,148
146,155,149
144,150,150
141,145,151
97,192,152
100,190,153
104,188,154
108,187,155
112,185,156
116,185,157
121,186,158
125,186,159
129,186,160
133,186,161
138,187,162
141,188,163
146,189,164
150,190,165
152,193,166
149,196,167
145,197,168
141,199,169
137,200,170
132,200,171
128,201,172
124,201,173
120,200,174
115,200,175
111,199,176
107,198,177
104,196,178
100,194,179
101,192,180
104,191,181
107,190,182
111,190,183
114,190,184
118,190,185
121,190,186
125,190,187
128,191,188
132,191,189
136,191,190
139,191,191
142,192,192
146,192,193
