X,Y,Point index
64,148,0
65,153,1
66,159,2
67,165,3
68,171,4
70,177,5
71,183,6
73,188,7
76,194,8
79,199,9
82,204,10
154,186,11
150,187,12
147,189,13
143,189,14
139,190,15
135,191,16
131,191,17
127,191,18
123,191,19
119,190,20
86,209,21
116,189,22
112,188,23
108,187,24
105,186,25
147,123,26
148,121,27
150,120,28
153,118,29
155,117,30
158,117,31
90,214,32
160,116,33
163,117,34
165,117,35
168,118,36
170,120,37
170,122,38
168,123,39
165,123,40
163,124,41
160,124,42
94,218,43
157,124,44
155,123,45
152,123,46
149,123,47
108,123,48
107,121,49
105,119,50
103,118,51
101,118,52
98,117,53
98,222,54
96,117,55
93,118,56
91,118,57
89,120,58
87,121,59
87,123,60
90,124,61
92,124,62
94,125,63
97,125,64
103,226,65
99,125,66
102,124,67
105,124,68
107,124,69
139,108,70
142,104,71
147,102,72
152,101,73
156,100,74
161,99,75
108,228,76
166,99,77
171,100,78
176,101,79
180,104,80
184,107,81
182,110,82
177,109,83
172,108,84
167,107,85
162,107,86
114,230,87
157,108,88
153,109,89
148,110,90
143,111,91
113,108,92
111,105,93
107,103,94
102,102,95
98,101,96
93,101,97
120,232,98
89,101,99
84,102,100
80,103,101
76,106,102
73,109,103
75,111,104
79,111,105
83,110,106
88,109,107
92,109,108
126,232,109
97,109,110
101,109,111
106,110,112
110,110,113
132,232,114
138,231,115
144,230,116
150,228,117
156,225,118
161,222,119
166,219,120
171,215,121
175,211,122
179,207,123
183,202,124
187,197,125
190,192,126
193,187,127
195,181,128
197,175,129
198,170,130
200,164,131
201,158,132
202,152,133
203,146,134
114,143,135
111,147,136
108,151,137
107,156,138
108,161,139
112,165,140
117,166,141
122,168,142
127,168,143
132,168,144
137,167,145
143,165,146
147,163,147
148,158,148
146,153,149
143,149,150
141,144,151
99,183,152
103,182,153
107,181,154
112,180,155
116,180,156
121,180,157
126,180,158
130,180,159
135,180,160
140,180,161
144,181,162
149,182,163
153,183,164
156,185,165
155,188,166
151,191,167
147,194,168
143,196,169
139,197,170
135,198,171
130,199,172
125,199,173
121,198,174
116,197,175
112,195,176
109,193,177
105,190,178
102,187,179
102,184,180
106,184,181
109,184,182
113,185,183
117,185,184
121,186,185
125,186,186
129,186,187
133,186,188
137,186,189
141,185,190
145,185,191
149,185,192
152,185,193
