X,Y,Point index
58,120,0
59,140,1
61,160,2
64,179,3
70,197,4
80,214,5
93,229,6
109,242,7
128,245,8
147,242,9
165,230,10
181,216,11
194,199,12
202,180,13
205,160,14
208,140,15
210,119,16
66,114,17
75,105,18
87,103,19
101,105,20
113,110,21
137,109,22
151,104,23
166,103,24
180,106,25
191,114,26
125,121,27
124,133,28
123,146,29
122,159,30
108,166,31
115,169,32
124,172,33
132,169,34
140,166,35
82,122,36
90,117,37
99,118,38
107,124,39
98,124,40
89,124,41
147,123,42
156,117,43
165,117,44
174,122,45
166,124,46
156,124,47
94,187,48
104,183,49
116,182,50
125,183,51
135,181,52
149,183,53
162,186,54
150,200,55
136,207,56
125,209,57
116,208,58
104,201,59
98,188,60
116,186,61
125,187,62
135,186,63
158,187,64
135,199,65
125,200,66
116,199,67
71,60,68
84,58,69
105,62,70
131,63,71
171,58,72
190,62,73
206,91,74
62,83,75
68,67,76
58,112,77
209,110,78
195,72,79
160,62,80
