X,Y,Point index
55,119,0
56,139,1
59,158,2
63,176,3
71,193,4
83,207,5
97,219,6
111,229,7
127,232,8
142,229,9
155,218,10
168,205,11
179,191,12
186,174,13
190,156,14
192,138,15
193,119,16
69,114,17
78,106,18
90,105,19
103,107,20
115,112,21
139,112,22
150,107,23
162,104,24
174,106,25
182,113,26
127,126,27
127,139,28
127,152,29
128,166,30
112,170,31
119,173,32
127,175,33
135,173,34
142,169,35
83,124,36
91,120,37
101,120,38
109,127,39
100,128,40
91,128,41
144,127,42
151,120,43
161,119,44
168,123,45
161,127,46
152,128,47
98,187,48
109,186,49
120,186,50
127,187,51
134,185,52
145,185,53
155,186,54
145,198,55
135,204,56
128,205,57
120,204,58
109,199,59
102,188,60
120,189,61
127,190,62
135,189,63
151,187,64
135,196,65
128,198,66
120,197,67
74,61,68
87,61,69
107,67,70
130,68,71
161,61,72
175,63,73
190,89,74
62,81,75
70,68,76
55,106,77
192,105,78
181,72,79
154,66,80
