X,Y,Point index
68,122,0
69,139,1
72,156,2
76,173,3
81,190,4
88,206,5
99,219,6
112,229,7
128,232,8
143,230,9
156,219,10
165,206,11
171,190,12
175,173,13
179,157,14
182,141,15
184,124,16
78,111,17
86,104,18
97,101,19
108,103,20
119,107,21
136,107,22
147,103,23
159,102,24
170,105,25
177,113,26
128,118,27
128,131,28
128,143,29
128,156,30
116,163,31
121,166,32
128,168,33
134,166,34
139,164,35
89,120,36
96,115,37
104,115,38
111,121,39
103,123,40
95,123,41
143,122,42
151,116,43
159,117,44
166,122,45
160,125,46
151,124,47
107,190,48
114,184,49
122,180,50
128,183,51
134,181,52
141,184,53
148,191,54
142,199,55
134,203,56
128,203,57
121,202,58
114,198,59
111,190,60
121,187,61
128,188,62
134,188,63
144,191,64
134,192,65
128,193,66
121,192,67
82,64,68
94,61,69
111,65,70
131,67,71
159,62,72
171,67,73
183,95,74
72,84,75
79,70,76
67,114,77
185,116,78
176,77,79
152,66,80
