X,Y,Point index
76,148,0
76,152,1
76,156,2
76,160,3
76,164,4
77,168,5
78,171,6
79,175,7
81,179,8
83,182,9
85,186,10
141,172,11
138,174,12
135,175,13
132,175,14
129,176,15
126,176,16
123,176,17
119,176,18
116,176,19
113,175,20
87,189,21
110,174,22
107,173,23
104,172,24
101,171,25
135,132,26
136,131,27
138,130,28
139,130,29
141,129,30
142,129,31
90,192,32
144,129,33
145,129,34
147,130,35
149,130,36
150,131,37
150,132,38
148,132,39
146,132,40
145,132,41
143,132,42
93,195,43
141,132,44
140,132,45
138,132,46
137,132,47
110,129,48
109,128,49
108,128,50
107,127,51
105,127,52
104,127,53
96,197,54
102,126,55
101,127,56
99,127,57
98,127,58
96,127,59
97,128,60
99,128,61
100,129,62
101,129,63
103,129,64
98,200,65
104,129,66
106,129,67
107,129,68
109,130,69
131,121,70
133,119,71
135,117,72
138,117,73
141,116,74
143,116,75
102,202,76
146,116,77
149,116,78
152,117,79
154,119,80
156,121,81
156,123,82
153,122,83
150,121,84
148,121,85
145,121,86
105,204,87
142,121,88
139,122,89
136,122,90
133,122,91
116,118,92
114,115,93
111,114,94
108,113,95
105,112,96
102,112,97
109,205,98
98,112,99
95,113,100
92,114,101
89,116,102
87,119,103
89,119,104
92,118,105
95,117,106
98,117,107
102,117,108
113,206,109
105,117,110
108,118,111
112,119,112
115,120,113
117,207,114
122,207,115
126,207,116
130,206,117
134,205,118
137,204,119
140,201,120
144,199,121
146,196,122
149,192,123
151,189,124
154,186,125
156,183,126
158,179,127
160,175,128
161,172,129
162,168,130
164,164,131
164,160,132
165,156,133
165,152,134
115,143,135
112,145,136
110,148,137
108,152,138
109,155,139
112,157,140
116,159,141
119,160,142
123,161,143
127,161,144
131,161,145
134,159,146
137,157,147
139,154,148
138,150,149
135,147,150
134,144,151
96,168,152
100,167,153
104,166,154
107,166,155
111,165,156
115,165,157
119,166,158
123,166,159
127,166,160
131,166,161
135,166,162
139,167,163
143,169,164
144,172,165
142,174,166
140,177,167
136,180,168
133,181,169
129,183,170
126,183,171
122,184,172
118,183,173
114,182,174
110,181,175
107,179,176
104,177,177
101,174,178
99,171,179
99,169,180
102,169,181
105,169,182
109,170,183
112,170,184
115,171,185
119,171,186
122,171,187
125,171,188
128,171,189
131,171,190
135,170,191
138,170,192
141,170,193
