X,Y,Point index
67,146,0
67,151,1
68,157,2
69,163,3
71,169,4
72,175,5
74,181,6
76,186,7
78,192,8
81,197,9
84,202,10
149,191,11
146,193,12
144,195,13
141,196,14
138,197,15
134,198,16
131,198,17
127,198,18
124,198,19
121,197,20
87,207,21
118,196,22
115,194,23
112,192,24
110,190,25
145,124,26
147,122,27
149,121,28
151,120,29
154,119,30
156,118,31
90,212,32
159,118,33
162,118,34
164,119,35
167,120,36
169,122,37
169,124,38
166,125,39
164,126,40
161,126,41
158,126,42
94,217,43
156,126,44
153,125,45
150,125,46
148,124,47
109,123,48
108,121,49
106,120,50
103,119,51
101,118,52
98,118,53
98,221,54
96,118,55
93,118,56
91,119,57
89,120,58
87,122,59
88,123,60
90,124,61
93,125,62
95,125,63
98,125,64
102,225,65
100,125,66
103,125,67
106,125,68
108,124,69
140,106,70
143,102,71
147,100,72
151,99,73
156,98,74
160,98,75
106,229,76
165,98,77
170,99,78
174,101,79
178,104,80
181,107,81
180,111,82
176,109,83
172,107,84
167,106,85
162,106,86
111,232,87
158,106,88
153,107,89
149,108,90
144,109,91
115,106,92
113,102,93
109,100,94
104,98,95
99,97,96
95,97,97
117,234,98
90,97,99
86,98,100
81,100,101
78,103,102
75,107,103
76,110,104
80,109,105
84,107,106
89,105,107
93,105,108
122,236,109
98,105,110
103,106,111
107,107,112
112,108,113
128,236,114
134,236,115
139,234,116
145,232,117
150,229,118
154,226,119
159,222,120
162,217,121
166,213,122
170,208,123
173,203,124
175,197,125
178,192,126
180,186,127
181,181,128
183,175,129
184,169,130
186,163,131
187,157,132
187,151,133
188,145,134
117,143,135
114,147,136
112,151,137
110,155,138
111,159,139
115,162,140
119,163,141
124,164,142
128,165,143
133,164,144
138,163,145
142,163,146
146,160,147
148,156,148
146,151,149
144,147,150
141,143,151
105,188,152
107,184,153
111,182,154
115,180,155
119,179,156
123,178,157
128,178,158
132,178,159
137,178,160
141,178,161
146,180,162
149,182,163
152,185,164
153,190,165
152,194,166
150,198,167
147,202,168
143,205,169
140,207,170
135,208,171
131,209,172
126,208,173
122,207,174
118,205,175
114,203,176
111,200,177
109,196,178
106,192,179
108,188,180
111,186,181
114,185,182
117,185,183
120,184,184
124,184,185
127,184,186
131,184,187
134,184,188
138,184,189
141,184,190
144,185,191
147,186,192
149,188,193
