X,Y,Point index
53,126,0
54,145,1
56,165,2
60,184,3
67,201,4
79,217,5
93,229,6
111,237,7
129,239,8
147,235,9
163,225,10
177,212,11
187,197,12
193,180,13
197,161,14
199,143,15
200,124,16
66,111,17
75,101,18
88,98,19
102,99,20
114,104,21
141,104,22
153,98,23
165,97,24
178,100,25
187,108,26
128,120,27
128,132,28
129,144,29
130,157,30
113,167,31
121,169,32
129,171,33
137,169,34
144,167,35
80,123,36
89,118,37
99,118,38
108,126,39
99,127,40
89,127,41
146,125,42
155,117,43
165,117,44
173,123,45
166,126,46
156,126,47
96,189,48
109,185,49
121,182,50
129,184,51
137,182,52
148,184,53
160,187,54
149,197,55
138,202,56
129,203,57
121,203,58
109,199,59
100,189,60
121,189,61
129,190,62
137,188,63
156,188,64
137,193,65
129,194,66
121,194,67
72,56,68
85,52,69
106,55,70
131,55,71
164,52,72
179,59,73
196,91,74
60,81,75
68,64,76
52,114,77
198,113,78
186,70,79
156,56,80
