X,Y,Point index
53,131,0
54,148,1
55,165,2
57,182,3
63,199,4
73,213,5
89,223,6
107,230,7
128,232,8
147,230,9
165,222,10
180,212,11
190,197,12
195,180,13
197,163,14
199,146,15
200,130,16
68,115,17
77,105,18
90,100,19
105,100,20
119,105,21
138,105,22
151,100,23
165,100,24
178,105,25
187,115,26
128,117,27
128,126,28
128,136,29
128,146,30
113,156,31
120,158,32
128,160,33
136,158,34
143,156,35
84,124,36
92,120,37
100,119,38
109,124,39
100,124,40
92,124,41
147,124,42
156,120,43
164,120,44
172,124,45
164,125,46
155,124,47
91,176,48
105,171,49
118,169,50
128,170,51
137,168,52
150,170,53
163,176,54
150,187,55
138,192,56
128,193,57
118,192,58
104,187,59
95,177,60
118,174,61
128,175,62
137,174,63
159,176,64
137,185,65
128,186,66
118,185,67
72,69,68
86,64,69
108,65,70
132,64,71
167,64,72
181,72,73
197,104,74
61,93,75
69,76,76
53,124,77
199,125,78
187,83,79
157,66,80
