X,Y,Point index
57,124,0
57,143,1
58,162,2
61,180,3
68,197,4
80,212,5
95,224,6
111,235,7
129,237,8
146,233,9
161,221,10
174,209,11
185,194,12
192,177,13
195,158,14
195,140,15
196,122,16
67,115,17
74,104,18
88,99,19
102,100,20
116,105,21
140,104,22
153,99,23
167,98,24
180,103,25
186,114,26
129,121,27
129,135,28
130,148,29
131,163,30
113,166,31
121,169,32
130,172,33
138,169,34
145,166,35
83,124,36
91,119,37
100,119,38
109,125,39
100,126,40
91,126,41
146,124,42
155,118,43
164,118,44
171,122,45
164,125,46
155,125,47
93,179,48
107,179,49
120,179,50
129,181,51
139,179,52
151,179,53
163,179,54
152,195,55
139,202,56
129,204,57
119,203,58
106,196,59
97,181,60
120,183,61
129,184,62
139,183,63
159,180,64
139,194,65
129,196,66
119,194,67
75,58,68
87,56,69
107,59,70
133,59,71
164,56,72
178,61,73
195,90,74
61,82,75
70,66,76
55,109,77
196,109,78
185,71,79
157,60,80
