X,Y,Point index
60,145,0
61,150,1
62,156,2
63,163,3
64,168,4
66,174,5
67,180,6
69,186,7
72,192,8
75,197,9
78,202,10
150,191,11
147,192,12
144,192,13
141,193,14
138,193,15
134,194,16
131,194,17
128,194,18
125,193,19
122,193,20
82,207,21
119,192,22
116,192,23
113,191,24
110,190,25
147,124,26
148,122,27
150,120,28
152,119,29
155,118,30
157,117,31
86,212,32
160,117,33
162,117,34
165,118,35
167,119,36
169,121,37
169,123,38
167,124,39
164,125,40
162,125,41
159,126,42
90,216,43
157,126,44
154,125,45
151,125,46
149,124,47
109,122,48
108,120,49
106,118,50
104,117,51
101,116,52
99,116,53
94,220,54
96,116,55
94,116,56
91,117,57
89,118,58
87,119,59
88,121,60
91,122,61
93,123,62
95,124,63
98,124,64
99,224,65
100,124,66
103,124,67
106,124,68
108,123,69
141,109,70
144,106,71
148,104,72
152,103,73
157,103,74
161,102,75
104,228,76
166,102,77
170,103,78
174,104,79
178,106,80
181,109,81
179,112,82
175,112,83
171,111,84
167,111,85
162,111,86
109,230,87
158,111,88
153,112,89
149,112,90
144,112,91
117,108,92
114,105,93
110,103,94
105,101,95
100,101,96
96,100,97
115,232,98
91,100,99
86,100,100
81,102,101
77,104,102
74,108,103
76,111,104
81,110,105
85,109,106
90,109,107
95,109,108
120,234,109
100,109,110
105,110,111
110,110,112
114,111,113
126,234,114
132,234,115
138,233,116
143,231,117
149,228,118
154,225,119
158,222,120
163,217,121
167,213,122
171,208,123
174,203,124
177,198,125
180,193,126
182,187,127
184,181,128
186,175,129
187,169,130
189,163,131
190,157,132
190,151,133
191,145,134
117,145,135
115,150,136
112,154,137
110,159,138
111,164,139
115,167,140
120,169,141
125,170,142
130,171,143
135,171,144
140,170,145
144,168,146
148,165,147
149,160,148
148,156,149
145,151,150
143,146,151
104,189,152
107,188,153
111,187,154
115,186,155
119,185,156
123,185,157
127,185,158
131,186,159
135,186,160
139,186,161
143,186,162
146,187,163
150,188,164
152,190,165
152,194,166
149,196,167
146,199,168
142,201,169
139,202,170
135,203,171
131,203,172
127,203,173
123,202,174
119,200,175
116,199,176
112,196,177
109,194,178
106,192,179
107,190,180
110,190,181
113,190,182
116,190,183
119,190,184
122,190,185
126,190,186
129,191,187
132,191,188
135,190,189
138,190,190
142,190,191
145,190,192
147,191,193
