X,Y,Point index
50,120,0
51,141,1
53,161,2
56,182,3
64,201,4
76,217,5
92,231,6
110,243,7
129,246,8
147,241,9
162,228,10
174,213,11
185,196,12
191,177,13
193,159,14
194,140,15
193,121,16
67,113,17
77,104,18
90,102,19
104,104,20
118,108,21
142,109,22
154,104,23
166,102,24
178,104,25
186,112,26
131,121,27
132,136,28
134,150,29
135,165,30
115,168,31
124,171,32
133,175,33
141,172,34
149,168,35
84,122,36
92,119,37
101,119,38
109,124,39
100,124,40
92,124,41
148,124,42
156,118,43
164,118,44
172,121,45
165,123,46
156,123,47
91,184,48
106,183,49
121,183,50
132,184,51
142,182,52
154,182,53
165,183,54
155,201,55
142,209,56
132,210,57
120,209,58
105,201,59
95,185,60
121,187,61
132,188,62
142,186,63
161,185,64
142,200,65
132,202,66
120,200,67
69,56,68
84,56,69
108,61,70
133,62,71
164,55,72
177,59,73
193,89,74
57,79,75
66,64,76
49,105,77
194,106,78
184,70,79
157,61,80
