X,Y,Point index
68,149,0
69,155,1
69,161,2
70,167,3
71,173,4
73,179,5
74,185,6
77,191,7
80,197,8
83,202,9
86,208,10
158,190,11
154,193,12
150,195,13
145,197,14
141,199,15
136,200,16
131,201,17
126,201,18
121,200,19
117,199,20
90,213,21
112,197,22
108,195,23
104,192,24
101,189,25
148,126,26
149,124,27
151,123,28
154,122,29
156,121,30
159,120,31
93,218,32
161,120,33
164,121,34
166,121,35
169,122,36
171,123,37
171,125,38
169,126,39
166,126,40
163,127,41
161,127,42
97,223,43
158,127,44
155,127,45
153,126,46
150,126,47
109,125,48
108,123,49
106,121,50
103,120,51
101,120,52
99,119,53
101,228,54
96,119,55
93,119,56
91,119,57
89,120,58
87,122,59
88,123,60
90,124,61
92,125,62
95,125,63
97,126,64
106,232,65
100,126,66
102,126,67
105,126,68
107,126,69
139,113,70
142,109,71
147,107,72
152,106,73
157,106,74
162,106,75
111,236,76
167,106,77
172,107,78
177,108,79
181,110,80
185,113,81
184,117,82
179,116,83
174,115,84
169,115,85
164,114,86
117,239,87
158,114,88
153,115,89
148,115,90
143,115,91
112,112,92
110,109,93
106,106,94
101,105,95
97,104,96
93,104,97
123,240,98
88,104,99
84,104,100
79,106,101
76,108,102
73,111,103
74,114,104
79,114,105
83,113,106
87,112,107
92,112,108
129,241,109
96,113,110
101,113,111
105,114,112
110,115,113
135,241,114
141,240,115
147,238,116
153,236,117
159,233,118
164,230,119
169,226,120
174,222,121
178,217,122
182,213,123
186,207,124
190,202,125
192,197,126
195,191,127
197,185,128
199,179,129
200,173,130
201,167,131
202,161,132
203,155,133
204,148,134
113,145,135
110,149,136
107,154,137
106,160,138
108,164,139
112,168,140
117,170,141
122,172,142
127,173,143
133,172,144
138,170,145
143,168,146
148,166,147
150,161,148
149,156,149
146,151,150
143,146,151
94,184,152
99,182,153
105,181,154
111,180,155
117,181,156
123,181,157
129,181,158
135,181,159
141,181,160
147,181,161
152,181,162
158,182,163
163,185,164
163,189,165
160,194,166
155,198,167
151,202,168
146,205,169
141,208,170
135,209,171
129,210,172
124,209,173
118,208,174
113,206,175
108,203,176
104,199,177
100,194,178
97,189,179
97,185,180
102,184,181
107,184,182
112,185,183
116,185,184
121,186,185
126,186,186
131,186,187
136,186,188
141,185,189
146,185,190
151,185,191
156,185,192
159,186,193
