X,Y,Point index
55,150,0
56,156,1
56,163,2
57,169,3
58,176,4
59,183,5
60,189,6
62,196,7
64,202,8
67,208,9
70,213,10
149,191,11
146,191,12
143,191,13
139,191,14
136,192,15
132,192,16
128,192,17
125,192,18
121,191,19
117,191,20
74,218,21
114,191,22
111,191,23
107,191,24
104,191,25
146,124,26
147,122,27
149,121,28
151,120,29
153,119,30
156,118,31
79,223,32
158,118,33
161,118,34
163,119,35
165,120,36
167,122,37
167,124,38
165,125,39
162,125,40
160,125,41
157,125,42
84,227,43
155,125,44
153,125,45
150,124,46
148,124,47
108,124,48
106,122,49
104,121,50
102,121,51
100,120,52
97,120,53
89,230,54
95,120,55
93,121,56
91,122,57
89,123,58
87,124,59
88,126,60
90,126,61
92,127,62
95,127,63
97,127,64
95,233,65
99,126,66
102,126,67
104,126,68
106,125,69
139,106,70
141,102,71
146,100,72
150,99,73
155,98,74
160,98,75
101,235,76
165,98,77
169,99,78
174,101,79
178,104,80
180,107,81
180,111,82
175,110,83
171,108,84
166,107,85
162,106,86
108,236,87
157,106,88
152,107,89
147,108,90
142,108,91
115,107,92
113,103,93
108,101,94
103,101,95
98,100,96
93,101,97
114,237,98
89,102,99
84,103,100
80,105,101
76,109,102
73,113,103
75,115,104
80,114,105
84,112,106
89,111,107
93,110,108
121,238,109
98,109,110
103,110,111
108,110,112
113,110,113
127,238,114
134,238,115
140,237,116
146,236,117
153,234,118
159,232,119
165,229,120
170,226,121
175,222,122
180,217,123
184,212,124
187,207,125
190,201,126
193,195,127
195,189,128
196,182,129
197,176,130
198,169,131
199,163,132
200,156,133
200,149,134
114,143,135
111,147,136
108,151,137
107,156,138
108,161,139
112,165,140
117,166,141
122,167,142
127,167,143
133,167,144
138,167,145
143,165,146
147,162,147
148,157,148
146,152,149
143,148,150
140,143,151
98,191,152
101,188,153
104,186,154
108,185,155
112,183,156
116,183,157
121,183,158
125,183,159
129,183,160
134,183,161
138,184,162
142,185,163
146,186,164
150,188,165
152,191,166
150,194,167
146,195,168
142,197,169
138,197,170
134,198,171
129,198,172
125,199,173
121,198,174
116,198,175
112,197,176
108,196,177
104,195,178
101,193,179
101,190,180
104,189,181
107,188,182
111,188,183
114,188,184
118,188,185
122,188,186
125,188,187
129,188,188
133,188,189
136,188,190
140,188,191
143,189,192
146,190,193
