X,Y,Point index
53,119,0
55,139,1
58,159,2
61,178,3
67,197,4
78,214,5
92,228,6
107,240,7
126,244,8
144,240,9
161,229,10
176,216,11
188,200,12
196,182,13
200,162,14
204,143,15
207,123,16
66,107,17
76,98,18
88,95,19
102,95,20
115,100,21
140,99,22
154,95,23
168,94,24
181,98,25
191,108,26
127,118,27
126,130,28
126,142,29
125,154,30
111,163,31
118,166,32
125,168,33
133,166,34
140,164,35
81,120,36
90,115,37
100,116,38
108,123,39
99,125,40
89,124,41
147,123,42
156,116,43
166,115,44
175,121,45
167,125,46
157,125,47
96,187,48
106,180,49
117,176,50
126,178,51
134,176,52
147,180,53
158,187,54
147,203,55
135,210,56
126,212,57
117,210,58
105,203,59
100,188,60
117,183,61
126,184,62
134,183,63
153,188,64
135,200,65
126,201,66
117,200,67
76,55,68
89,50,69
108,52,70
132,53,71
168,51,72
184,58,73
203,90,74
63,79,75
72,62,76
55,112,77
206,113,78
191,68,79
159,54,80
