X,Y,Point index
59,116,0
61,134,1
64,151,2
68,168,3
75,184,4
86,197,5
98,209,6
113,219,7
128,222,8
143,220,9
157,211,10
169,200,11
179,187,12
185,172,13
189,155,14
191,138,15
191,120,16
70,105,17
80,99,18
92,98,19
104,101,20
116,107,21
140,107,22
150,102,23
161,100,24
173,101,25
182,107,26
128,122,27
129,134,28
129,146,29
129,158,30
117,164,31
122,166,32
128,168,33
134,167,34
140,165,35
85,120,36
93,116,37
102,117,38
110,124,39
101,125,40
92,124,41
145,125,42
153,118,43
162,118,44
170,122,45
163,126,46
154,127,47
105,183,48
114,180,49
123,178,50
129,180,51
135,179,52
143,181,53
152,185,54
144,195,55
135,199,56
128,199,57
122,198,58
113,193,59
109,184,60
122,185,61
128,186,62
135,185,63
148,186,64
135,189,65
128,189,66
122,188,67
78,55,68
90,54,69
109,61,70
130,62,71
159,57,72
173,61,73
189,87,74
67,74,75
74,61,76
59,102,77
192,106,78
180,70,79
153,61,80
