X,Y,Point index
61,124,0
62,142,1
64,158,2
66,176,3
71,192,4
81,207,5
94,218,6
109,228,7
126,232,8
144,230,9
161,222,10
177,211,11
189,197,12
196,180,13
199,162,14
202,143,15
204,124,16
69,113,17
76,105,18
88,102,19
101,103,20
112,107,21
137,107,22
150,103,23
164,103,24
177,106,25
187,115,26
125,120,27
124,130,28
124,140,29
123,151,30
110,158,31
117,161,32
124,163,33
132,161,34
139,159,35
83,122,36
91,118,37
100,118,38
108,124,39
99,124,40
91,123,41
146,124,42
154,119,43
163,119,44
171,123,45
163,125,46
154,125,47
95,178,48
105,173,49
117,171,50
125,173,51
134,172,52
147,174,53
160,180,54
148,194,55
135,200,56
125,201,57
116,199,58
105,193,59
99,179,60
117,176,61
125,177,62
134,176,63
156,180,64
134,193,65
125,193,66
116,192,67
75,65,68
87,62,69
106,65,70
130,66,71
167,64,72
182,69,73
200,98,74
65,87,75
72,72,76
60,115,77
203,117,78
188,79,79
157,67,80
