X,Y,Point index
59,130,0
61,147,1
64,164,2
66,181,3
70,198,4
79,212,5
93,223,6
110,230,7
129,232,8
148,230,9
164,224,10
178,213,11
187,199,12
191,182,13
193,165,14
195,148,15
197,131,16
67,116,17
75,105,18
88,100,19
103,100,20
116,104,21
138,104,22
152,101,23
167,101,24
180,107,25
188,118,26
128,116,27
128,127,28
128,137,29
128,148,30
115,159,31
121,161,32
128,163,33
135,161,34
141,160,35
82,122,36
90,117,37
99,117,38
108,122,39
99,124,40
90,125,41
147,123,42
156,118,43
165,119,44
172,124,45
165,126,46
156,125,47
101,187,48
112,181,49
121,177,50
128,179,51
136,178,52
146,182,53
155,187,54
146,192,55
136,194,56
128,194,57
121,193,58
111,192,59
106,186,60
121,184,61
128,185,62
136,184,63
151,187,64
136,185,65
128,186,66
121,185,67
74,68,68
86,62,69
107,63,70
133,64,71
167,64,72
182,74,73
197,106,74
61,92,75
69,75,76
56,127,77
199,129,78
189,84,79
159,66,80
