X,Y,Point index
61,131,0
61,148,1
62,166,2
64,184,3
69,201,4
78,216,5
91,229,6
106,238,7
125,241,8
144,239,9
163,231,10
179,220,11
192,207,12
200,190,13
203,171,14
205,152,15
207,132,16
69,112,17
75,100,18
87,94,19
100,95,20
112,100,21
138,99,22
153,95,23
167,95,24
181,101,25
189,112,26
125,116,27
124,127,28
123,138,29
122,150,30
110,160,31
116,163,32
123,164,33
131,162,34
138,161,35
85,122,36
91,116,37
100,116,38
108,122,39
100,124,40
91,124,41
146,122,42
154,116,43
163,116,44
171,122,45
163,124,46
154,124,47
97,187,48
106,181,49
116,179,50
124,180,51
132,179,52
143,181,53
155,187,54
144,196,55
133,199,56
124,200,57
116,199,58
106,196,59
102,187,60
116,185,61
124,185,62
132,184,63
151,187,64
132,191,65
124,192,66
116,191,67
78,61,68
89,55,69
108,55,70
132,55,71
169,55,72
186,64,73
202,98,74
66,87,75
74,69,76
62,124,77
205,123,78
192,75,79
159,57,80
