X,Y,Point index
57,118,0
58,138,1
60,157,2
65,176,3
72,194,4
82,209,5
96,222,6
111,231,7
128,233,8
144,230,9
156,219,10
167,205,11
176,190,12
182,173,13
186,155,14
188,137,15
189,118,16
72,111,17
81,102,18
95,99,19
109,102,20
121,106,21
138,106,22
150,102,23
163,100,24
175,102,25
182,111,26
130,121,27
130,134,28
131,147,29
131,160,30
115,168,31
122,170,32
130,172,33
137,170,34
144,167,35
86,121,36
94,117,37
103,117,38
111,123,39
102,125,40
93,125,41
146,123,42
153,117,43
162,117,44
169,121,45
162,124,46
154,124,47
106,194,48
115,189,49
123,186,50
130,188,51
136,185,52
143,188,53
150,193,54
143,200,55
136,203,56
129,204,57
122,204,58
114,201,59
110,194,60
123,192,61
130,193,62
136,192,63
146,193,64
136,194,65
129,195,66
123,194,67
78,59,68
91,56,69
111,61,70
133,62,71
162,57,72
175,62,73
188,90,74
66,80,75
74,65,76
58,111,77
189,111,78
181,72,79
155,61,80
