,X,Y
0,63,132
1,64,147
2,65,162
3,67,178
4,72,193
5,81,208
6,94,221
7,109,232
8,127,236
9,145,232
10,161,222
11,174,210
12,184,196
13,189,181
14,192,165
15,193,150
16,195,135
17,72,112
18,78,101
19,90,94
20,103,95
21,116,100
22,140,101
23,153,96
24,167,96
25,179,102
26,186,114
27,127,114
28,127,124
29,127,134
30,126,145
31,113,157
32,120,159
33,128,162
34,135,159
35,143,157
36,84,123
37,91,119
38,99,118
39,109,122
40,99,124
41,91,124
42,147,123
43,155,119
44,164,119
45,171,125
46,163,125
47,155,124
48,94,180
49,106,175
50,119,173
51,128,174
52,137,173
53,150,176
54,162,182
55,150,196
56,137,203
57,127,204
58,117,203
59,104,195
60,98,181
61,119,178
62,128,179
63,137,178
64,158,182
65,137,193
66,128,194
67,118,193
