,x,y
0,23,49
1,24,73
2,28,96
3,33,118
4,40,139
5,51,159
6,65,176
7,81,191
8,102,195
9,124,191
10,146,179
11,166,161
12,180,140
13,188,116
14,192,93
15,196,67
16,197,41
17,29,37
18,39,27
19,53,25
20,68,29
21,81,37
22,108,36
23,124,28
24,141,25
25,158,27
26,173,36
27,96,57
28,95,73
29,93,89
30,92,105
31,81,114
32,87,117
33,94,120
34,102,117
35,110,114
36,46,57
37,56,51
38,68,53
39,79,63
40,67,65
41,54,64
42,122,62
43,132,52
44,144,52
45,154,57
46,146,63
47,133,64
48,71,139
49,80,133
50,89,131
51,97,134
52,105,131
53,118,133
54,132,138
55,120,155
56,107,162
57,98,163
58,89,162
59,80,155
60,77,140
61,89,141
62,97,142
63,106,141
64,127,139
65,106,146
66,97,147
67,89,146
