,X,Y
0,58,119
1,61,138
2,64,156
3,67,175
4,72,193
5,82,209
6,94,224
7,108,237
8,127,240
9,146,237
10,161,224
11,175,210
12,186,194
13,192,176
14,195,157
15,198,137
16,201,117
17,67,113
18,76,105
19,88,104
20,101,106
21,114,110
22,140,110
23,152,105
24,165,103
25,178,104
26,188,112
27,127,121
28,127,133
29,128,146
30,128,159
31,115,169
32,121,171
33,128,172
34,134,171
35,141,169
36,83,122
37,91,117
38,100,117
39,109,123
40,100,125
41,91,125
42,147,123
43,154,117
44,164,117
45,172,121
46,165,125
47,155,125
48,102,193
49,111,188
50,121,185
51,128,187
52,135,185
53,144,188
54,153,192
55,144,199
56,135,204
57,127,205
58,119,204
59,111,200
60,107,193
61,120,193
62,128,193
63,135,193
64,149,192
65,134,193
66,127,194
67,120,193
