,X,Y
0,55,131
1,57,150
2,57,168
3,60,187
4,65,205
5,76,220
6,91,233
7,108,242
8,128,245
9,148,243
10,165,234
11,180,222
12,191,208
13,197,190
14,200,171
15,202,152
16,203,133
17,73,109
18,80,98
19,92,93
20,105,95
21,117,100
22,139,99
23,151,93
24,165,92
25,178,97
26,185,109
27,128,115
28,128,127
29,128,139
30,128,151
31,116,165
32,122,167
33,129,169
34,136,167
35,142,165
36,86,122
37,94,117
38,103,117
39,111,124
40,102,126
41,93,125
42,146,124
43,155,117
44,164,117
45,172,123
46,165,126
47,155,126
48,98,192
49,111,189
50,121,186
51,129,188
52,136,186
53,146,189
54,159,192
55,146,197
56,136,199
57,129,200
58,121,199
59,111,197
60,103,192
61,121,191
62,129,193
63,136,192
64,155,192
65,136,192
66,129,193
67,121,192
