,x,y
0,17,61
1,19,84
2,22,107
3,25,129
4,33,150
5,47,170
6,62,186
7,80,198
8,102,201
9,126,200
10,148,190
11,167,176
12,183,156
13,191,133
14,195,109
15,197,86
16,198,61
17,27,43
18,36,33
19,50,30
20,64,31
21,78,38
22,112,38
23,128,31
24,145,29
25,162,32
26,177,40
27,94,58
28,93,76
29,92,93
30,90,110
31,77,116
32,85,119
33,94,122
34,105,119
35,115,116
36,46,60
37,56,56
38,67,56
39,78,62
40,67,64
41,55,63
42,122,61
43,133,55
44,144,54
45,156,59
46,145,62
47,133,62
48,56,133
49,69,131
50,85,131
51,97,132
52,108,130
53,127,130
54,146,133
55,128,155
56,111,163
57,98,164
58,85,163
59,69,154
60,61,135
61,85,136
62,97,138
63,109,136
64,141,135
65,109,153
66,97,154
67,85,153
