,x,y
0,18,83
1,18,104
2,21,124
3,23,145
4,27,166
5,37,185
6,53,198
7,73,205
8,97,207
9,123,205
10,145,199
11,163,187
12,175,169
13,180,149
14,183,128
15,185,107
16,186,86
17,31,54
18,41,42
19,56,35
20,73,35
21,88,40
22,110,42
23,125,37
24,142,37
25,157,44
26,168,56
27,98,53
28,97,65
29,96,76
30,95,88
31,82,109
32,89,111
33,96,112
34,104,111
35,112,109
36,46,65
37,55,56
38,67,56
39,78,64
40,67,66
41,55,67
42,120,64
43,130,55
44,142,56
45,151,65
46,142,67
47,130,66
48,64,146
49,76,136
50,88,130
51,98,133
52,108,130
53,121,135
54,134,146
55,121,152
56,109,155
57,98,156
58,88,155
59,76,152
60,70,146
61,88,141
62,98,142
63,108,141
64,128,146
65,108,142
66,98,143
67,88,142
