,x,y
0,10,70
1,9,92
2,9,113
3,10,135
4,17,156
5,31,173
6,51,185
7,74,195
8,98,199
9,123,196
10,147,187
11,168,175
12,181,158
13,188,137
14,191,115
15,191,94
16,190,72
17,26,45
18,37,37
19,51,35
20,65,38
21,79,44
22,117,43
23,131,38
24,147,36
25,162,38
26,174,47
27,98,59
28,98,73
29,98,88
30,98,103
31,79,113
32,88,116
33,98,119
34,108,116
35,118,113
36,43,63
37,53,57
38,64,57
39,75,64
40,63,65
41,52,65
42,121,65
43,133,57
44,144,57
45,155,63
46,144,65
47,133,65
48,55,137
49,71,132
50,87,129
51,99,131
52,109,129
53,125,130
54,142,135
55,126,149
56,110,155
57,99,157
58,87,156
59,70,150
60,60,138
61,87,136
62,99,137
63,109,136
64,137,136
65,110,144
66,99,145
67,87,145
