,x,y
0,7,54
1,8,78
2,11,101
3,17,122
4,27,142
5,43,158
6,60,173
7,77,185
8,96,189
9,113,185
10,129,171
11,141,154
12,154,137
13,164,118
14,169,98
15,172,77
16,172,55
17,23,36
18,36,26
19,53,24
20,69,29
21,84,38
22,116,39
23,130,30
24,144,24
25,159,24
26,169,35
27,101,59
28,101,79
29,101,98
30,101,117
31,78,117
32,89,121
33,101,126
34,111,121
35,120,116
36,42,58
37,53,52
38,65,54
39,76,63
40,64,65
41,51,64
42,120,63
43,130,52
44,142,50
45,152,56
46,144,62
47,131,63
48,54,127
49,73,132
50,89,133
51,99,134
52,108,132
53,120,130
54,135,125
55,121,145
56,110,154
57,100,156
58,89,155
59,72,147
60,59,130
61,89,138
62,99,138
63,109,137
64,130,128
65,109,144
66,99,146
67,89,145
