,x,y
0,-1,47
1,2,72
2,7,95
3,11,120
4,20,142
5,35,161
6,53,177
7,74,189
8,95,193
9,114,189
10,132,175
11,149,159
12,162,140
13,170,118
14,174,95
15,179,71
16,182,48
17,21,40
18,36,36
19,53,37
20,69,43
21,84,50
22,116,51
23,130,43
24,144,38
25,159,35
26,173,41
27,100,61
28,100,76
29,100,91
30,100,106
31,85,115
32,92,117
33,99,119
34,106,117
35,113,115
36,41,57
37,52,53
38,64,53
39,73,61
40,62,62
41,51,61
42,122,61
43,131,54
44,143,53
45,153,57
46,144,62
47,133,63
48,65,135
49,77,132
50,89,130
51,99,133
52,107,130
53,118,133
54,128,138
55,118,149
56,107,155
57,98,156
58,88,154
59,76,147
60,71,137
61,89,139
62,98,140
63,107,140
64,122,139
65,107,141
66,98,142
67,89,140
