,X,Y
0,59,128
1,62,146
2,63,164
3,65,183
4,69,200
5,79,215
6,92,227
7,108,238
8,126,241
9,145,238
10,161,228
11,175,215
12,186,199
13,192,181
14,194,162
15,196,143
16,198,124
17,69,109
18,76,99
19,88,93
20,101,94
21,113,99
22,141,99
23,152,94
24,166,93
25,178,98
26,185,108
27,127,117
28,128,130
29,128,143
30,128,157
31,114,163
32,121,166
33,128,169
34,135,166
35,142,164
36,85,121
37,92,117
38,101,117
39,108,122
40,100,124
41,91,124
42,147,122
43,155,117
44,163,116
45,170,120
46,164,124
47,155,124
48,96,187
49,107,182
50,118,181
51,127,183
52,136,181
53,147,182
54,158,188
55,148,200
56,136,204
57,127,205
58,117,204
59,105,199
60,100,188
61,118,186
62,127,187
63,136,187
64,154,188
65,136,196
66,127,197
67,117,196
