,x,y
0,29,67
1,27,87
2,29,107
3,33,127
4,39,149
5,48,169
6,60,188
7,76,201
8,100,204
9,126,202
10,151,194
11,174,180
12,191,161
13,200,138
14,202,113
15,203,87
16,204,62
17,34,49
18,40,37
19,54,34
20,68,34
21,83,38
22,105,36
23,124,30
24,143,27
25,162,29
26,178,40
27,93,56
28,91,71
29,90,86
30,88,102
31,75,111
32,83,115
33,93,117
34,104,114
35,116,110
36,47,65
37,56,60
38,67,59
39,77,64
40,67,67
41,56,67
42,124,62
43,136,55
44,148,54
45,159,59
46,149,63
47,136,63
48,64,143
49,73,133
50,84,129
51,95,131
52,107,128
53,124,131
54,141,139
55,126,155
56,110,163
57,97,165
58,85,164
59,74,157
60,69,143
61,84,135
62,96,135
63,108,134
64,136,140
65,108,150
66,96,152
67,84,151
