,X,Y
0,69,115
1,69,133
2,69,150
3,72,168
4,79,183
5,91,197
6,103,210
7,115,223
8,130,229
9,146,228
10,163,219
11,178,207
12,192,193
13,203,175
14,208,155
15,210,134
16,210,113
17,73,109
18,81,105
19,91,107
20,102,110
21,112,113
22,136,114
23,149,110
24,162,107
25,175,107
26,188,111
27,124,123
28,124,137
29,123,151
30,123,166
31,108,169
32,115,172
33,125,175
34,134,172
35,143,169
36,84,120
37,92,116
38,101,117
39,108,124
40,100,125
41,91,124
42,146,125
43,154,119
44,164,119
45,173,122
46,165,126
47,155,126
48,99,182
49,109,183
50,118,183
51,126,185
52,133,183
53,146,183
54,161,182
55,147,190
56,134,193
57,127,194
58,119,193
59,110,189
60,104,184
61,118,187
62,126,188
63,133,187
64,156,183
65,134,187
66,127,188
67,119,187
