,x,y
0,3,57
1,3,82
2,5,105
3,10,127
4,20,148
5,34,168
6,52,184
7,72,198
8,95,202
9,118,198
10,137,183
11,152,166
12,165,146
13,173,126
14,177,105
15,179,83
16,178,60
17,27,48
18,41,41
19,56,40
20,72,42
21,86,47
22,113,47
23,126,42
24,140,39
25,154,41
26,164,50
27,99,58
28,100,77
29,100,96
30,100,115
31,78,117
32,88,122
33,99,126
34,110,121
35,120,116
36,46,59
37,56,54
38,66,54
39,76,60
40,65,60
41,56,60
42,118,60
43,128,53
44,138,53
45,148,58
46,138,59
47,128,60
48,53,131
49,70,132
50,86,133
51,98,135
52,109,132
53,124,131
54,138,130
55,124,151
56,110,161
57,98,163
58,85,161
59,69,150
60,58,133
61,86,139
62,98,141
63,109,139
64,133,133
65,109,148
66,98,150
67,85,148
