,x,y
0,9,65
1,11,87
2,15,109
3,20,131
4,28,151
5,41,168
6,58,180
7,76,189
8,98,191
9,120,188
10,139,180
11,157,167
12,169,151
13,177,132
14,181,110
15,184,88
16,186,65
17,24,46
18,36,36
19,52,33
20,69,35
21,85,40
22,111,37
23,127,32
24,144,29
25,160,32
26,172,44
27,97,56
28,96,71
29,95,85
30,94,99
31,80,112
32,88,114
33,97,115
34,106,114
35,114,111
36,40,62
37,51,55
38,65,55
39,76,64
40,64,67
41,50,67
42,122,63
43,134,54
44,147,53
45,156,60
46,148,66
47,134,66
48,68,144
49,78,133
50,89,126
51,98,128
52,106,126
53,118,133
54,129,143
55,118,152
56,107,156
57,98,157
58,89,156
59,78,153
60,74,143
61,89,137
62,98,137
63,106,137
64,123,143
65,106,142
66,98,143
67,89,142
