,X,Y
0,56,119
1,58,138
2,60,157
3,64,176
4,71,193
5,82,208
6,97,220
7,113,230
8,131,232
9,148,229
10,164,219
11,177,208
12,188,194
13,193,179
14,196,161
15,198,143
16,199,124
17,68,108
18,78,99
19,91,98
20,104,101
21,117,107
22,143,108
23,155,103
24,167,101
25,180,103
26,188,112
27,130,122
28,130,135
29,131,147
30,131,160
31,115,165
32,122,167
33,131,171
34,138,168
35,146,165
36,85,121
37,92,116
38,102,117
39,111,125
40,101,126
41,91,126
42,147,126
43,155,118
44,165,117
45,173,123
46,166,127
47,156,128
48,96,181
49,109,177
50,121,177
51,130,178
52,139,176
53,151,177
54,163,181
55,153,197
56,140,204
57,131,205
58,121,204
59,108,197
60,101,182
61,121,182
62,130,183
63,139,182
64,159,182
65,140,194
66,131,195
67,121,194
