,X,Y
0,51,120
1,52,141
2,54,164
3,59,184
4,68,203
5,81,221
6,95,237
7,111,249
8,129,252
9,145,246
10,160,232
11,173,217
12,184,200
13,191,181
14,194,162
15,196,143
16,197,123
17,67,115
18,76,104
19,89,98
20,105,98
21,119,103
22,140,105
23,153,101
24,167,101
25,180,107
26,186,119
27,129,118
28,129,131
29,129,145
30,129,159
31,112,166
32,120,168
33,129,171
34,137,169
35,145,166
36,84,121
37,92,117
38,100,117
39,108,122
40,100,122
41,92,123
42,147,123
43,156,118
44,164,119
45,171,124
46,164,125
47,156,124
48,95,187
49,107,183
50,120,182
51,130,183
52,139,182
53,152,183
54,162,186
55,151,203
56,139,212
57,129,213
58,119,212
59,106,204
60,98,188
61,120,186
62,129,187
63,139,185
64,159,187
65,139,203
66,129,204
67,119,203
