,x,y
0,17,63
1,18,86
2,21,108
3,27,129
4,36,147
5,47,162
6,61,175
7,77,186
8,95,190
9,113,187
10,130,177
11,144,163
12,156,147
13,165,126
14,170,104
15,175,82
16,177,57
17,30,39
18,40,30
19,54,25
20,69,25
21,83,30
22,115,32
23,128,25
24,144,24
25,159,28
26,168,40
27,98,54
28,98,69
29,98,85
30,98,100
31,81,111
32,89,114
33,97,117
34,105,115
35,113,112
36,44,58
37,54,52
38,65,52
39,76,60
40,64,62
41,53,63
42,120,59
43,130,51
44,142,51
45,151,57
46,143,62
47,130,62
48,70,142
49,80,134
50,90,129
51,98,132
52,105,129
53,115,134
54,123,142
55,115,152
56,106,155
57,98,156
58,89,155
59,80,150
60,76,142
61,89,139
62,98,140
63,105,140
64,118,142
65,106,143
66,98,144
67,90,143
