,x,y
0,24,46
1,26,69
2,29,92
3,34,113
4,41,134
5,51,152
6,65,169
7,81,181
8,101,185
9,122,182
10,140,170
11,155,153
12,168,134
13,177,112
14,182,89
15,186,65
16,189,39
17,31,40
18,42,32
19,57,33
20,70,38
21,83,44
22,111,43
23,126,36
24,142,32
25,158,33
26,171,42
27,97,59
28,96,74
29,95,90
30,94,106
31,81,113
32,88,116
33,96,119
34,105,116
35,113,113
36,46,57
37,55,53
38,66,54
39,76,62
40,65,63
41,54,62
42,123,62
43,132,54
44,144,53
45,155,57
46,145,63
47,134,64
48,68,132
49,80,133
50,90,132
51,99,135
52,107,133
53,119,134
54,134,133
55,120,146
56,108,152
57,99,153
58,89,151
59,79,145
60,73,134
61,90,139
62,99,140
63,108,139
64,129,135
65,108,141
66,99,142
67,90,140
