,x,y
0,55,64
1,55,83
2,58,103
3,65,123
4,71,142
5,78,161
6,86,180
7,95,195
8,110,200
9,131,198
10,155,188
11,178,174
12,197,156
13,210,131
14,215,103
15,216,74
16,215,48
17,47,39
18,51,32
19,60,33
20,69,35
21,78,41
22,100,34
23,117,25
24,136,20
25,155,22
26,171,31
27,91,55
28,88,70
29,85,86
30,81,102
31,80,112
32,84,116
33,90,119
34,98,116
35,106,113
36,58,58
37,63,52
38,73,51
39,82,58
40,73,62
41,63,63
42,121,56
43,130,47
44,142,46
45,153,51
46,144,57
47,132,58
48,83,144
49,82,136
50,87,132
51,93,135
52,101,132
53,115,136
54,132,144
55,117,156
56,104,160
57,96,161
58,90,160
59,85,153
60,86,144
61,89,143
62,94,143
63,102,143
64,126,144
65,102,146
66,94,146
67,89,145
