,X,Y
0,50,119
1,51,138
2,54,157
3,57,176
4,61,194
5,71,209
6,87,221
7,106,229
8,126,232
9,147,230
10,166,222
11,182,212
12,194,197
13,198,178
14,201,160
15,203,140
16,204,121
17,65,112
18,75,101
19,89,98
20,103,101
21,117,107
22,138,107
23,152,102
24,166,101
25,179,104
26,189,113
27,128,119
28,128,130
29,128,141
30,128,153
31,114,164
32,121,166
33,128,168
34,135,166
35,142,164
36,83,121
37,91,115
38,101,116
39,109,124
40,100,125
41,90,124
42,146,124
43,154,117
44,164,116
45,172,122
46,165,125
47,155,125
48,100,188
49,111,184
50,121,182
51,128,184
52,137,182
53,146,185
54,157,189
55,146,192
56,136,194
57,128,194
58,120,194
59,111,192
60,104,187
61,121,186
62,128,188
63,137,186
64,154,188
65,136,187
66,128,188
67,120,186
