,X,Y
0,61,137
1,60,154
2,62,171
3,65,188
4,72,203
5,81,216
6,95,224
7,110,232
8,128,235
9,146,232
10,162,226
11,177,218
12,188,204
13,195,189
14,199,171
15,200,154
16,201,136
17,71,112
18,78,103
19,91,101
20,103,105
21,115,110
22,139,110
23,151,104
24,165,101
25,178,104
26,187,113
27,127,120
28,127,132
29,127,143
30,126,155
31,111,163
32,119,165
33,127,168
34,135,166
35,142,162
36,85,122
37,91,118
38,100,118
39,107,124
40,100,125
41,91,125
42,148,123
43,156,118
44,165,118
45,172,122
46,165,125
47,157,125
48,102,191
49,112,184
50,121,182
51,128,183
52,135,181
53,145,183
54,154,189
55,145,191
56,136,193
57,128,194
58,121,193
59,112,193
60,105,190
61,121,187
62,128,188
63,135,187
64,150,188
65,135,188
66,128,189
67,121,188
