,x,y
0,29,57
1,28,78
2,28,99
3,32,122
4,39,143
5,53,162
6,67,180
7,84,197
8,104,201
9,126,198
10,147,185
11,168,168
12,186,148
13,197,125
14,201,100
15,203,75
16,204,49
17,36,40
18,44,34
19,54,34
20,65,36
21,77,41
22,114,39
23,129,33
24,144,31
25,159,32
26,174,38
27,95,60
28,93,76
29,91,91
30,90,107
31,80,114
32,86,118
33,94,121
34,102,117
35,111,114
36,47,59
37,57,53
38,68,54
39,78,64
40,66,66
41,55,65
42,124,63
43,134,53
44,146,52
45,157,59
46,147,64
47,135,65
48,67,133
49,77,129
50,88,129
51,98,131
52,109,129
53,128,129
54,147,132
55,130,155
56,112,164
57,100,165
58,89,164
59,77,156
60,72,136
61,88,135
62,98,136
63,109,135
64,142,135
65,111,154
66,100,155
67,89,153
