,X,Y
0,54,119
1,54,139
2,57,159
3,59,180
4,67,199
5,79,217
6,93,233
7,109,245
8,128,249
9,146,245
10,161,232
11,174,216
12,185,199
13,192,180
14,194,161
15,195,141
16,194,121
17,69,110
18,79,103
19,91,101
20,104,103
21,117,107
22,144,107
23,155,102
24,167,100
25,178,102
26,187,109
27,130,121
28,130,134
29,130,148
30,131,162
31,115,168
32,122,171
33,130,174
34,138,171
35,144,168
36,84,122
37,92,118
38,101,118
39,110,124
40,100,125
41,91,125
42,147,124
43,155,118
44,164,117
45,172,121
46,165,125
47,156,125
48,94,187
49,107,182
50,120,181
51,129,183
52,138,181
53,150,182
54,161,186
55,150,200
56,139,208
57,129,209
58,119,208
59,106,201
60,98,187
61,120,187
62,129,188
63,138,187
64,157,187
65,138,199
66,129,201
67,119,199
