,x,y
0,15,57
1,16,81
2,19,103
3,21,124
4,27,146
5,40,163
6,58,176
7,76,189
8,96,195
9,118,193
10,141,182
11,161,169
12,177,151
13,186,130
14,190,106
15,194,82
16,196,58
17,24,46
18,35,39
19,50,38
20,64,40
21,78,46
22,113,47
23,128,40
24,144,38
25,162,38
26,177,46
27,96,60
28,96,78
29,95,96
30,95,114
31,80,116
32,87,120
33,97,124
34,107,121
35,116,117
36,43,59
37,53,53
38,65,54
39,76,64
40,64,65
41,52,64
42,120,65
43,132,55
44,144,53
45,156,60
46,146,64
47,133,65
48,60,130
49,73,129
50,87,129
51,98,131
52,109,130
53,125,130
54,143,133
55,126,150
56,109,156
57,97,157
58,85,155
59,72,147
60,65,132
61,86,134
62,98,136
63,109,135
64,138,134
65,109,146
66,98,147
67,86,144
