,X,Y
0,53,125
1,53,142
2,55,161
3,59,179
4,69,196
5,82,210
6,97,221
7,113,229
8,130,231
9,147,227
10,160,218
11,171,205
12,180,190
13,186,174
14,190,156
15,191,138
16,189,122
17,70,108
18,80,99
19,93,96
20,106,98
21,118,102
22,136,102
23,147,97
24,158,95
25,170,97
26,178,105
27,127,117
28,128,127
29,129,135
30,130,145
31,111,158
32,120,160
33,130,161
34,139,160
35,147,158
36,83,122
37,90,118
38,99,118
39,107,123
40,99,124
41,91,125
42,146,121
43,153,116
44,161,116
45,168,120
46,162,122
47,153,122
48,99,183
49,112,177
50,123,173
51,130,176
52,136,174
53,147,178
54,156,185
55,147,194
56,137,198
57,129,199
58,122,198
59,111,193
60,104,184
61,123,184
62,130,185
63,136,184
64,152,185
65,136,187
66,129,187
67,123,186
