,x,y
0,47,67
1,44,85
2,43,103
3,47,122
4,54,140
5,64,159
6,74,176
7,84,193
8,102,200
9,124,200
10,148,195
11,173,184
12,192,167
13,203,142
14,208,113
15,211,82
16,211,53
17,43,37
18,49,30
19,59,30
20,69,35
21,78,41
22,104,38
23,120,28
24,138,24
25,157,27
26,173,35
27,92,59
28,89,76
29,87,93
30,84,110
31,76,117
32,83,122
33,91,125
34,102,122
35,112,118
36,52,59
37,60,50
38,71,51
39,82,62
40,70,64
41,59,64
42,119,61
43,131,49
44,144,47
45,157,56
46,146,62
47,132,63
48,75,136
49,79,132
50,87,132
51,94,134
52,104,133
53,123,135
54,143,138
55,126,155
56,109,163
57,98,163
58,89,161
59,81,151
60,79,137
61,87,137
62,95,139
63,105,139
64,139,139
65,107,151
66,97,151
67,88,148
