,x,y
0,-2,55
1,-2,81
2,-1,107
3,2,132
4,12,155
5,30,174
6,52,191
7,75,204
8,99,206
9,119,202
10,131,185
11,142,165
12,152,146
13,159,125
14,164,104
15,164,83
16,162,63
17,19,43
18,33,31
19,53,29
20,73,32
21,92,41
22,112,42
23,127,35
24,142,32
25,156,35
26,161,47
27,103,60
28,105,74
29,108,89
30,111,105
31,80,111
32,93,116
33,105,121
34,116,117
35,124,112
36,40,59
37,51,53
38,63,55
39,73,63
40,62,64
41,50,63
42,117,65
43,127,57
44,139,57
45,147,63
46,140,66
47,129,66
48,47,133
49,68,131
50,88,132
51,100,135
52,112,133
53,125,133
54,136,135
55,125,157
56,112,165
57,99,167
58,86,165
59,66,156
60,52,135
61,88,136
62,100,138
63,112,137
64,130,137
65,112,155
66,99,157
67,86,155
