,x,y
0,5,66
1,7,88
2,10,109
3,13,131
4,21,150
5,36,166
6,54,178
7,75,187
8,97,190
9,118,187
10,135,177
11,150,164
12,160,147
13,167,127
14,171,107
15,173,87
16,174,67
17,23,39
18,35,30
19,50,26
20,66,25
21,82,29
22,116,32
23,130,28
24,144,28
25,157,32
26,166,41
27,99,55
28,100,68
29,101,81
30,102,95
31,84,109
32,92,112
33,100,113
34,108,112
35,116,110
36,40,59
37,50,54
38,62,54
39,73,61
40,61,64
41,49,64
42,120,64
43,131,57
44,142,58
45,152,64
46,142,68
47,130,67
48,65,142
49,81,136
50,92,131
51,100,133
52,107,131
53,117,136
54,127,144
55,116,150
56,107,151
57,100,152
58,92,151
59,80,149
60,71,142
61,92,139
62,100,140
63,107,140
64,121,143
65,107,140
66,100,140
67,92,140
