,X,Y
0,60,132
1,61,150
2,63,168
3,65,186
4,71,202
5,81,216
6,94,227
7,108,236
8,125,239
9,143,236
10,160,227
11,175,217
12,186,203
13,193,186
14,196,167
15,198,149
16,200,130
17,73,112
18,79,102
19,90,97
20,102,96
21,113,100
22,142,100
23,154,96
24,167,96
25,179,101
26,185,112
27,127,117
28,127,130
29,127,143
30,127,156
31,111,164
32,119,167
33,127,169
34,135,167
35,143,164
36,84,123
37,92,118
38,100,118
39,108,124
40,100,125
41,91,125
42,147,123
43,156,117
44,165,117
45,172,122
46,165,124
47,156,124
48,98,189
49,108,182
50,118,180
51,126,181
52,134,180
53,144,182
54,154,189
55,144,198
56,134,202
57,125,203
58,116,201
59,107,197
60,102,189
61,118,185
62,125,185
63,134,185
64,150,188
65,133,194
66,125,195
67,117,194
