,x,y
0,-6,64
1,-6,89
2,-3,114
3,0,138
4,10,160
5,28,177
6,49,191
7,72,200
8,94,201
9,113,196
10,125,179
11,135,161
12,145,142
13,153,123
14,159,103
15,160,85
16,157,66
17,23,43
18,38,36
19,56,32
20,74,33
21,90,39
22,114,41
23,125,36
24,136,34
25,146,34
26,155,38
27,104,60
28,106,76
29,109,91
30,112,106
31,86,116
32,96,119
33,106,123
34,114,120
35,120,115
36,41,59
37,53,50
38,66,51
39,76,62
40,65,63
41,52,63
42,115,62
43,126,51
44,137,50
45,144,59
46,139,63
47,127,64
48,53,138
49,73,131
50,91,130
51,100,133
52,110,131
53,120,133
54,125,138
55,117,152
56,108,160
57,97,161
58,87,160
59,70,154
60,58,138
61,90,138
62,100,139
63,110,138
64,120,139
65,108,148
66,98,150
67,88,150
