,x,y
0,17,53
1,20,75
2,24,98
3,29,120
4,37,140
5,50,158
6,64,174
7,79,190
8,99,196
9,119,192
10,138,177
11,155,160
12,170,140
13,179,119
14,184,96
15,187,72
16,189,49
17,29,48
18,40,38
19,56,38
20,71,42
21,86,47
22,110,45
23,125,39
24,141,34
25,157,33
26,171,43
27,96,59
28,95,76
29,94,93
30,93,109
31,79,115
32,86,119
33,95,122
34,105,118
35,114,115
36,48,57
37,58,53
38,68,54
39,78,60
40,68,61
41,57,61
42,121,59
43,130,52
44,142,51
45,151,55
46,143,59
47,132,60
48,67,135
49,77,134
50,88,133
51,98,136
52,108,133
53,120,134
54,133,135
55,122,149
56,109,157
57,98,159
58,87,157
59,77,148
60,72,137
61,88,140
62,98,141
63,108,140
64,128,137
65,109,144
66,98,146
67,88,144
