,x,y
0,18,67
1,18,88
2,21,108
3,25,129
4,31,148
5,41,166
6,56,180
7,75,192
8,98,196
9,124,194
10,147,186
11,168,174
12,183,158
13,192,138
14,197,115
15,201,92
16,202,68
17,25,38
18,35,28
19,50,27
20,64,30
21,78,37
22,115,35
23,130,26
24,147,22
25,164,25
26,179,34
27,96,58
28,95,72
29,94,87
30,93,102
31,79,112
32,86,115
33,94,117
34,104,114
35,113,111
36,42,62
37,52,56
38,64,57
39,75,65
40,62,67
41,51,66
42,124,65
43,135,56
44,147,55
45,158,61
46,148,66
47,136,66
48,62,136
49,74,131
50,87,128
51,97,130
52,108,128
53,124,130
54,142,135
55,125,148
56,109,154
57,97,155
58,86,154
59,73,148
60,68,137
61,87,139
62,97,140
63,108,138
64,136,137
65,108,141
66,97,142
67,87,141
