,x,y
0,11,77
1,13,99
2,16,121
3,21,142
4,28,161
5,39,178
6,55,191
7,74,200
8,99,201
9,124,199
10,145,192
11,163,180
12,176,165
13,184,145
14,189,124
15,193,102
16,196,79
17,22,49
18,31,34
19,48,27
20,67,28
21,84,34
22,113,33
23,130,26
24,149,24
25,167,30
26,179,46
27,98,56
28,97,68
29,97,80
30,96,92
31,81,108
32,89,109
33,97,110
34,105,109
35,114,108
36,41,67
37,50,56
38,64,56
39,75,66
40,63,70
41,50,70
42,124,64
43,135,54
44,148,54
45,158,64
46,149,68
47,135,67
48,65,146
49,76,133
50,88,127
51,97,128
52,105,126
53,118,132
54,132,145
55,119,155
56,106,158
57,97,158
58,88,158
59,76,155
60,71,145
61,88,137
62,97,136
63,105,136
64,126,144
65,106,146
66,97,147
67,88,146
