,x,y
0,8,60
1,9,83
2,10,105
3,14,128
4,23,148
5,37,169
6,54,185
7,74,198
8,97,202
9,119,198
10,138,186
11,153,170
12,165,149
13,172,128
14,174,106
15,175,83
16,175,62
17,27,42
18,39,32
19,54,30
20,70,33
21,84,40
22,111,40
23,125,34
24,140,32
25,154,34
26,164,44
27,98,57
28,99,72
29,100,87
30,101,103
31,82,116
32,91,118
33,100,120
34,109,118
35,117,116
36,45,58
37,55,55
38,65,55
39,74,61
40,64,61
41,54,60
42,120,62
43,130,57
44,140,57
45,149,60
46,140,62
47,130,62
48,59,135
49,73,132
50,88,131
51,99,134
52,109,132
53,122,134
54,134,138
55,122,153
56,109,159
57,98,160
58,87,158
59,72,151
60,64,137
61,88,137
62,99,139
63,109,138
64,130,139
65,109,149
66,99,150
67,87,148
