,x,y
0,21,54
1,22,75
2,26,97
3,30,118
4,37,138
5,48,156
6,62,171
7,79,184
8,99,189
9,118,186
10,138,176
11,156,162
12,172,145
13,182,125
14,187,103
15,192,80
16,194,56
17,29,37
18,40,29
19,54,28
20,68,31
21,81,37
22,112,36
23,127,30
24,143,28
25,159,30
26,172,39
27,97,59
28,97,76
29,96,92
30,95,109
31,80,116
32,88,119
33,96,122
34,105,119
35,114,117
36,43,57
37,53,52
38,65,53
39,74,63
40,63,63
41,51,62
42,123,63
43,132,54
44,144,53
45,155,59
46,146,63
47,134,64
48,69,137
49,79,131
50,89,129
51,98,131
52,108,129
53,120,131
54,134,135
55,121,147
56,109,154
57,99,155
58,89,154
59,78,147
60,74,138
61,89,137
62,98,138
63,108,137
64,128,136
65,108,143
66,99,144
67,89,142
