,X,Y
0,40,123
1,41,143
2,41,164
3,43,185
4,51,205
5,64,221
6,84,232
7,106,241
8,132,242
9,157,239
10,176,228
11,191,213
12,200,195
13,204,176
14,205,156
15,205,137
16,204,119
17,67,114
18,77,106
19,91,103
20,105,104
21,118,109
22,140,108
23,151,104
24,164,102
25,176,103
26,186,109
27,130,120
28,131,132
29,132,145
30,133,158
31,113,163
32,122,167
33,131,170
34,141,167
35,149,163
36,85,123
37,92,120
38,101,119
39,109,123
40,101,124
41,93,125
42,148,123
43,157,118
44,165,118
45,173,122
46,165,124
47,157,124
48,95,189
49,109,183
50,122,180
51,131,182
52,140,180
53,151,181
54,162,187
55,152,193
56,141,195
57,132,196
58,122,196
59,109,195
60,100,188
61,122,188
62,131,188
63,140,187
64,158,186
65,140,188
66,131,189
67,122,189
