,x,y
0,4,63
1,5,86
2,7,110
3,11,132
4,20,154
5,35,173
6,53,188
7,74,200
8,97,201
9,119,197
10,135,183
11,149,165
12,160,145
13,165,125
14,168,104
15,171,84
16,172,64
17,26,45
18,39,35
19,56,30
20,73,32
21,89,38
22,110,40
23,124,34
24,140,32
25,154,38
26,163,50
27,100,55
28,101,71
29,102,86
30,102,102
31,84,112
32,92,115
33,100,119
34,108,116
35,115,113
36,46,58
37,56,51
38,67,51
39,77,59
40,66,62
41,55,62
42,116,61
43,125,54
44,137,54
45,145,61
46,137,64
47,126,63
48,63,139
49,78,137
50,91,135
51,99,137
52,107,135
53,117,137
54,128,140
55,118,148
56,108,152
57,100,153
58,91,153
59,78,148
60,69,140
61,91,142
62,99,143
63,107,142
64,123,141
65,108,142
66,100,144
67,91,142
