,X,Y
0,37,116
1,38,137
2,41,158
3,46,178
4,55,197
5,70,212
6,88,223
7,108,233
8,129,235
9,148,230
10,164,220
11,179,207
12,189,193
13,194,174
14,196,155
15,198,135
16,199,116
17,66,99
18,78,95
19,90,94
20,102,98
21,113,104
22,146,104
23,156,99
24,166,95
25,177,94
26,186,99
27,130,120
28,131,132
29,132,145
30,133,157
31,117,165
32,124,168
33,132,169
34,139,167
35,144,164
36,82,122
37,91,117
38,101,118
39,110,125
40,101,126
41,90,126
42,146,124
43,154,117
44,164,117
45,172,121
46,165,125
47,156,126
48,93,183
49,109,179
50,122,177
51,131,179
52,139,177
53,150,178
54,161,180
55,150,193
56,140,199
57,131,200
58,122,200
59,108,196
60,98,184
61,122,183
62,131,183
63,139,182
64,156,182
65,140,191
66,131,192
67,122,192
