,x,y
0,13,60
1,13,83
2,15,104
3,19,124
4,27,143
5,39,159
6,54,173
7,73,184
8,93,188
9,115,186
10,133,175
11,150,159
12,163,142
13,173,123
14,178,102
15,182,80
16,183,58
17,29,43
18,41,34
19,56,33
20,72,35
21,86,41
22,115,43
23,128,36
24,143,33
25,158,34
26,169,43
27,99,58
28,100,74
29,100,91
30,100,107
31,80,114
32,90,117
33,99,120
34,109,117
35,119,114
36,45,57
37,55,53
38,66,54
39,75,61
40,64,62
41,53,61
42,123,61
43,133,55
44,143,54
45,152,58
46,144,62
47,133,62
48,65,136
49,78,133
50,90,131
51,100,134
52,109,131
53,119,133
54,130,135
55,119,145
56,109,150
57,99,151
58,89,150
59,77,145
60,69,137
61,89,139
62,99,140
63,109,139
64,126,136
65,109,139
66,99,140
67,89,139
