,x,y
0,9,59
1,10,82
2,11,105
3,13,128
4,21,150
5,35,171
6,54,188
7,74,201
8,96,203
9,118,201
10,136,187
11,150,169
12,161,148
13,169,126
14,173,103
15,175,79
16,175,55
17,25,47
18,37,35
19,54,33
20,71,36
21,88,43
22,110,40
23,125,34
24,141,31
25,156,35
26,166,46
27,100,58
28,101,77
29,102,97
30,102,117
31,81,117
32,90,121
33,100,127
34,110,122
35,119,117
36,46,58
37,54,53
38,65,54
39,75,61
40,64,62
41,54,61
42,120,60
43,129,53
44,140,53
45,149,57
46,141,61
47,130,62
48,57,132
49,72,132
50,87,133
51,98,136
52,109,133
53,123,131
54,137,130
55,124,148
56,111,157
57,99,159
58,86,157
59,71,149
60,61,133
61,87,137
62,98,139
63,110,137
64,131,132
65,110,148
66,98,150
67,86,149
