,X,Y
0,49,134
1,48,153
2,47,172
3,48,192
4,54,209
5,67,222
6,86,229
7,104,235
8,125,238
9,146,237
10,165,232
11,185,224
12,199,210
13,206,192
14,210,172
15,211,152
16,212,133
17,68,113
18,74,99
19,88,92
20,103,92
21,118,98
22,140,97
23,154,90
24,170,90
25,184,98
26,191,112
27,128,115
28,128,125
29,127,136
30,127,147
31,111,161
32,119,164
33,127,166
34,136,164
35,144,162
36,84,123
37,92,118
38,100,118
39,109,123
40,101,124
41,92,125
42,147,122
43,155,117
44,164,117
45,172,122
46,165,123
47,156,124
48,96,190
49,108,183
50,120,180
51,127,182
52,135,181
53,146,185
54,159,191
55,146,194
56,135,194
57,126,193
58,118,192
59,107,192
60,101,188
61,119,185
62,127,186
63,136,186
64,154,190
65,135,187
66,126,187
67,118,186
